type,value
variable 1,-2.44
variable 1,-2.18
variable 1,-1.92
variable 1,-1.92
variable 1,-1.67
variable 1,-1.67
variable 1,-1.41
variable 1,-1.41
variable 1,-1.41
variable 1,-1.41
variable 1,-1.15
variable 1,-1.15
variable 1,-1.15
variable 1,-1.15
variable 1,-1.15
variable 1,-1.15
variable 1,-0.9
variable 1,-0.9
variable 1,-0.9
variable 1,-0.9
variable 1,-0.9
variable 1,-0.9
variable 1,-0.9
variable 1,-0.64
variable 1,-0.64
variable 1,-0.64
variable 1,-0.64
variable 1,-0.64
variable 1,-0.64
variable 1,-0.64
variable 1,-0.64
variable 1,-0.39
variable 1,-0.39
variable 1,-0.39
variable 1,-0.39
variable 1,-0.39
variable 1,-0.39
variable 1,-0.39
variable 1,-0.39
variable 1,-0.39
variable 1,-0.13
variable 1,-0.13
variable 1,-0.13
variable 1,-0.13
variable 1,-0.13
variable 1,-0.13
variable 1,-0.13
variable 1,-0.13
variable 1,-0.13
variable 1,-0.13
variable 1,0.13
variable 1,0.13
variable 1,0.13
variable 1,0.13
variable 1,0.13
variable 1,0.13
variable 1,0.13
variable 1,0.13
variable 1,0.13
variable 1,0.13
variable 1,0.39
variable 1,0.39
variable 1,0.39
variable 1,0.39
variable 1,0.39
variable 1,0.39
variable 1,0.39
variable 1,0.39
variable 1,0.39
variable 1,0.64
variable 1,0.64
variable 1,0.64
variable 1,0.64
variable 1,0.64
variable 1,0.64
variable 1,0.64
variable 1,0.64
variable 1,0.9
variable 1,0.9
variable 1,0.9
variable 1,0.9
variable 1,0.9
variable 1,0.9
variable 1,0.9
variable 1,1.15
variable 1,1.15
variable 1,1.15
variable 1,1.15
variable 1,1.15
variable 1,1.15
variable 1,1.41
variable 1,1.41
variable 1,1.41
variable 1,1.41
variable 1,1.67
variable 1,1.67
variable 1,1.92
variable 1,1.92
variable 1,2.18
variable 1,2.44
variable 2,-0.25955479364269957
variable 2,0.6734853142232132
variable 2,0.8431289701988337
variable 2,-4.585468021021022
variable 2,-0.5988421055939406
variable 2,0.16455434629635168
variable 2,-1.8711695254110943
variable 2,-1.2774167294964225
variable 2,0.16455434629635168
variable 2,0.6734853142232132
variable 2,0.7583071422110235
variable 2,-3.2283187732160585
variable 2,0.24937617428416195
variable 2,0.5038416582475927
variable 2,0.8431289701988337
variable 2,-0.5140202776061303
variable 2,0.16455434629635168
variable 2,0.6734853142232132
variable 2,-0.1747329656548893
variable 2,-0.768485761569561
variable 2,0.24937617428416195
variable 2,-0.08991113766707906
variable 2,0.588663486235403
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.768485761569561
variable 2,-1.2774167294964225
variable 2,-0.9381294175451815
variable 2,-1.0229512455329919
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.08991113766707906
variable 2,-0.9381294175451815
variable 2,0.8431289701988337
variable 2,-0.25955479364269957
variable 2,0.8431289701988337
variable 2,0.7583071422110235
variable 2,0.24937617428416195
variable 2,0.8431289701988337
variable 2,-1.1925949015086124
variable 2,-1.107773073520802
variable 2,0.8431289701988337
variable 2,0.24937617428416195
variable 2,-3.2283187732160585
variable 2,-0.5988421055939406
variable 2,-1.107773073520802
variable 2,0.8431289701988337
variable 2,0.16455434629635168
variable 2,-0.6836639335817508
variable 2,-0.1747329656548893
variable 2,-1.9559913533989046
variable 2,-3.6524279131551096
variable 2,-0.768485761569561
variable 2,-0.25955479364269957
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.08991113766707906
variable 2,-0.3443766216305098
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-1.2774167294964225
variable 2,-3.058675117240438
variable 2,-0.005089309679268808
variable 2,-1.1925949015086124
variable 2,0.8431289701988337
variable 2,0.588663486235403
variable 2,0.8431289701988337
variable 2,-1.3622385574842328
variable 2,-0.42919844961832004
variable 2,0.8431289701988337
variable 2,0.24937617428416195
variable 2,-0.005089309679268808
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.5988421055939406
variable 2,0.07973251830854144
variable 2,-1.0229512455329919
variable 2,0.5038416582475927
variable 2,0.41901983025978246
variable 2,-0.1747329656548893
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.6836639335817508
variable 2,0.8431289701988337
variable 2,-0.6836639335817508
variable 2,0.8431289701988337
variable 2,-1.1925949015086124
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.08991113766707906
variable 2,0.8431289701988337
variable 2,0.3341980022719722
variable 2,-4.076537053094161
variable 2,-0.005089309679268808
variable 2,-0.42919844961832004
variable 2,0.8431289701988337
variable 2,0.3341980022719722
variable 2,0.8431289701988337
variable 2,0.5038416582475927
variable 2,0.8431289701988337
variable 2,0.41901983025978246
variable 2,0.24937617428416195
variable 2,0.24937617428416195
variable 2,0.588663486235403
variable 2,-0.005089309679268808
variable 2,0.3341980022719722
variable 2,0.8431289701988337
variable 2,0.5038416582475927
variable 2,0.8431289701988337
variable 2,0.41901983025978246
variable 2,-1.2774167294964225
variable 2,0.16455434629635168
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.588663486235403
variable 2,0.41901983025978246
variable 2,-1.107773073520802
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.005089309679268808
variable 2,-0.1747329656548893
variable 2,0.8431289701988337
variable 2,-0.8533075895573713
variable 2,0.7583071422110235
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-1.0229512455329919
variable 2,-1.3622385574842328
variable 2,0.8431289701988337
variable 2,0.5038416582475927
variable 2,-0.9381294175451815
variable 2,0.8431289701988337
variable 2,-0.5988421055939406
variable 2,0.8431289701988337
variable 2,0.5038416582475927
variable 2,0.8431289701988337
variable 2,0.24937617428416195
variable 2,0.41901983025978246
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.1747329656548893
variable 2,0.8431289701988337
variable 2,-1.107773073520802
variable 2,0.24937617428416195
variable 2,0.7583071422110235
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.9381294175451815
variable 2,0.8431289701988337
variable 2,-0.42919844961832004
variable 2,-0.08991113766707906
variable 2,0.8431289701988337
variable 2,0.6734853142232132
variable 2,0.6734853142232132
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.41901983025978246
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.6836639335817508
variable 2,-0.5988421055939406
variable 2,0.8431289701988337
variable 2,0.16455434629635168
variable 2,0.41901983025978246
variable 2,-1.2774167294964225
variable 2,0.8431289701988337
variable 2,-0.8533075895573713
variable 2,-0.5140202776061303
variable 2,-0.768485761569561
variable 2,0.8431289701988337
variable 2,-0.8533075895573713
variable 2,-0.768485761569561
variable 2,-3.82207156913073
variable 2,0.8431289701988337
variable 2,0.7583071422110235
variable 2,0.16455434629635168
variable 2,-1.6167040414476637
variable 2,-0.5988421055939406
variable 2,0.41901983025978246
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.005089309679268808
variable 2,0.8431289701988337
variable 2,0.5038416582475927
variable 2,0.24937617428416195
variable 2,0.5038416582475927
variable 2,-1.107773073520802
variable 2,-1.3622385574842328
variable 2,0.16455434629635168
variable 2,-1.2774167294964225
variable 2,-1.2774167294964225
variable 2,-0.3443766216305098
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.16455434629635168
variable 2,-1.0229512455329919
variable 2,0.24937617428416195
variable 2,0.8431289701988337
variable 2,-0.42919844961832004
variable 2,0.7583071422110235
variable 2,0.7583071422110235
variable 2,0.41901983025978246
variable 2,-0.3443766216305098
variable 2,-0.6836639335817508
variable 2,-0.005089309679268808
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.08991113766707906
variable 2,0.8431289701988337
variable 2,-0.08991113766707906
variable 2,0.588663486235403
variable 2,-0.768485761569561
variable 2,0.8431289701988337
variable 2,-0.1747329656548893
variable 2,0.07973251830854144
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.42919844961832004
variable 2,0.8431289701988337
variable 2,-0.42919844961832004
variable 2,0.8431289701988337
variable 2,0.7583071422110235
variable 2,-0.6836639335817508
variable 2,0.8431289701988337
variable 2,0.41901983025978246
variable 2,-0.3443766216305098
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.24937617428416195
variable 2,0.8431289701988337
variable 2,-0.9381294175451815
variable 2,-0.08991113766707906
variable 2,-0.08991113766707906
variable 2,-1.1925949015086124
variable 2,0.3341980022719722
variable 2,0.8431289701988337
variable 2,-0.9381294175451815
variable 2,0.8431289701988337
variable 2,0.41901983025978246
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.07973251830854144
variable 2,0.7583071422110235
variable 2,0.3341980022719722
variable 2,0.8431289701988337
variable 2,-0.1747329656548893
variable 2,-0.6836639335817508
variable 2,-3.482784257179489
variable 2,-0.5140202776061303
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.6734853142232132
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.9381294175451815
variable 2,0.3341980022719722
variable 2,0.7583071422110235
variable 2,-0.5140202776061303
variable 2,0.8431289701988337
variable 2,0.5038416582475927
variable 2,-2.889031461264817
variable 2,0.8431289701988337
variable 2,-1.0229512455329919
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-1.107773073520802
variable 2,-0.25955479364269957
variable 2,-1.107773073520802
variable 2,-0.08991113766707906
variable 2,-0.42919844961832004
variable 2,0.8431289701988337
variable 2,-0.1747329656548893
variable 2,-1.0229512455329919
variable 2,0.3341980022719722
variable 2,-1.2774167294964225
variable 2,-0.08991113766707906
variable 2,0.16455434629635168
variable 2,-1.0229512455329919
variable 2,-0.6836639335817508
variable 2,0.588663486235403
variable 2,-0.08991113766707906
variable 2,-0.5140202776061303
variable 2,-0.08991113766707906
variable 2,0.5038416582475927
variable 2,-0.6836639335817508
variable 2,-0.768485761569561
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.3443766216305098
variable 2,0.6734853142232132
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.24937617428416195
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-3.7372497411429197
variable 2,0.41901983025978246
variable 2,-0.9381294175451815
variable 2,-2.295278665350146
variable 2,0.41901983025978246
variable 2,-0.25955479364269957
variable 2,-0.3443766216305098
variable 2,-1.2774167294964225
variable 2,0.8431289701988337
variable 2,0.6734853142232132
variable 2,0.8431289701988337
variable 2,0.588663486235403
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.5988421055939406
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-1.1925949015086124
variable 2,-1.2774167294964225
variable 2,-0.42919844961832004
variable 2,-4.161358881081971
variable 2,0.8431289701988337
variable 2,-1.9559913533989046
variable 2,0.8431289701988337
variable 2,0.24937617428416195
variable 2,-0.3443766216305098
variable 2,0.8431289701988337
variable 2,-1.2774167294964225
variable 2,-0.9381294175451815
variable 2,-1.0229512455329919
variable 2,0.07973251830854144
variable 2,0.41901983025978246
variable 2,-1.2774167294964225
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.3443766216305098
variable 2,-0.005089309679268808
variable 2,-0.005089309679268808
variable 2,0.16455434629635168
variable 2,0.8431289701988337
variable 2,-0.3443766216305098
variable 2,0.8431289701988337
variable 2,-0.08991113766707906
variable 2,0.8431289701988337
variable 2,0.16455434629635168
variable 2,-0.3443766216305098
variable 2,0.8431289701988337
variable 2,0.3341980022719722
variable 2,0.16455434629635168
variable 2,-0.25955479364269957
variable 2,-3.5676060851672995
variable 2,0.8431289701988337
variable 2,0.41901983025978246
variable 2,0.41901983025978246
variable 2,0.07973251830854144
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.005089309679268808
variable 2,-1.0229512455329919
variable 2,0.5038416582475927
variable 2,-1.2774167294964225
variable 2,-0.005089309679268808
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.5038416582475927
variable 2,-1.3622385574842328
variable 2,-1.1925949015086124
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.9381294175451815
variable 2,-0.6836639335817508
variable 2,-1.0229512455329919
variable 2,-0.5988421055939406
variable 2,-0.3443766216305098
variable 2,0.07973251830854144
variable 2,0.07973251830854144
variable 2,-0.005089309679268808
variable 2,-0.8533075895573713
variable 2,-0.5988421055939406
variable 2,0.8431289701988337
variable 2,-0.9381294175451815
variable 2,0.8431289701988337
variable 2,0.6734853142232132
variable 2,0.24937617428416195
variable 2,0.16455434629635168
variable 2,0.8431289701988337
variable 2,-1.107773073520802
variable 2,-3.3131406012038687
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.07973251830854144
variable 2,-0.768485761569561
variable 2,0.8431289701988337
variable 2,0.24937617428416195
variable 2,0.07973251830854144
variable 2,-0.42919844961832004
variable 2,0.8431289701988337
variable 2,-0.768485761569561
variable 2,0.8431289701988337
variable 2,0.7583071422110235
variable 2,-0.005089309679268808
variable 2,0.8431289701988337
variable 2,-0.5988421055939406
variable 2,-0.005089309679268808
variable 2,-0.42919844961832004
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.588663486235403
variable 2,-0.42919844961832004
variable 2,-1.2774167294964225
variable 2,0.8431289701988337
variable 2,-0.42919844961832004
variable 2,0.16455434629635168
variable 2,0.7583071422110235
variable 2,0.8431289701988337
variable 2,-1.0229512455329919
variable 2,0.5038416582475927
variable 2,0.3341980022719722
variable 2,0.588663486235403
variable 2,-0.42919844961832004
variable 2,-1.7863476974232841
variable 2,0.8431289701988337
variable 2,-1.2774167294964225
variable 2,0.41901983025978246
variable 2,0.7583071422110235
variable 2,0.7583071422110235
variable 2,0.3341980022719722
variable 2,0.07973251830854144
variable 2,-3.6524279131551096
variable 2,0.5038416582475927
variable 2,-0.08991113766707906
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,0.8431289701988337
variable 2,-0.5140202776061303
variable 2,-1.2774167294964225
variable 2,-0.08991113766707906
variable 2,-0.8533075895573713
variable 2,0.8431289701988337
variable 2,-0.768485761569561
variable 2,-0.8533075895573713
variable 2,0.8431289701988337
variable 2,0.8431289701988337
