value,type
-2.9297074865361394,variable 2
-2.8926210602826123,variable 2
-2.944816771306095,variable 2
-2.911851059080737,variable 2
-2.834473206773996,variable 2
-2.9315389149931037,variable 2
-2.834931063888237,variable 2
-2.928333915193416,variable 2
-2.854618919800603,variable 2
-2.9402382001636838,variable 2
-2.851413920000916,variable 2
-2.839051777916407,variable 2
-2.8807167753123446,variable 2
-2.822568921803728,variable 2
-2.9676180555953002,variable 2
-2.990327768461657,variable 2
-2.9678927698638446,variable 2
-2.9237553440510053,variable 2
-2.864806240592467,variable 2
-2.8935367745110945,variable 2
-2.9046398095314405,variable 2
-2.956492127719242,variable 2
-2.89170534605413,variable 2
-2.9475639139915413,variable 2
-2.9173453444516304,variable 2
-2.890789631825648,variable 2
-2.9080737378882486,variable 2
-2.954431770705157,variable 2
-2.8852953464547553,variable 2
-2.953516056476675,variable 2
-2.8207374933467637,variable 2
-2.9887710542732377,variable 2
-2.915971773108907,variable 2
-2.851413920000916,variable 2
-2.9853829116278536,variable 2
-2.987214340084818,variable 2
-2.888958203368684,variable 2
-2.9297074865361394,variable 2
-2.9393224859352016,variable 2
-2.9310810578788624,variable 2
-2.933370343450068,variable 2
-2.946190342648818,variable 2
-2.8820903466550676,variable 2
-2.892163203168371,variable 2
-2.9113932019664963,variable 2
-2.9443589141918536,variable 2
-2.84042534925913,variable 2
-2.9402382001636838,variable 2
-2.9904193398845056,variable 2
-2.9068146308240856,variable 2
-2.8308103498600676,variable 2
-2.901892666845994,variable 2
-2.8459196346300226,variable 2
-2.8628603478569428,variable 2
-2.881975882376507,variable 2
-2.8440882061730584,variable 2
-2.8802589181981033,variable 2
-2.893078917396853,variable 2
-2.9173453444516304,variable 2
-2.9484796282200234,variable 2
-2.935659629021273,variable 2
-2.9792476262970236,variable 2
-2.9765004836115767,variable 2
-2.8555346340290853,variable 2
-2.834015349659755,variable 2
-2.8244003502606922,variable 2
-2.8752224899414514,variable 2
-2.9164296302231483,variable 2
-2.8665232047708713,variable 2
-2.939780343049443,variable 2
