value,type
-2.9286361868809,variable 2
-2.879046632700278,variable 2
-2.9878692956564277,variable 2
-2.891045554761411,variable 2
-2.9218950675160613,variable 2
-2.9708820407035303,variable 2
-2.96250573065482,variable 2
-2.977249074072092,variable 2
-2.9632229329460924,variable 2
-2.924253568537067,variable 2
-2.822591300937587,variable 2
-2.9212138613388112,variable 2
-2.945552340362441,variable 2
-2.9366163487989327,variable 2
-2.983488442919601,variable 2
-2.9971677106661465,variable 2
-2.982163932262181,variable 2
-2.985427429353235,variable 2
-2.9291617269643515,variable 2
-2.943112032883452,variable 2
-2.944774388465038,variable 2
-2.974441472616573,variable 2
-2.962878560047912,variable 2
-2.977524604203375,variable 2
-2.956268938639159,variable 2
-2.856163745543275,variable 2
-2.974169550049877,variable 2
-2.981748890545893,variable 2
-2.9755263029181336,variable 2
-2.9757322108704174,variable 2
-2.807542809729151,variable 2
-2.9937063924210277,variable 2
-2.9744508255617985,variable 2
-2.9321064158741743,variable 2
-2.9933419615909953,variable 2
-2.995250242369079,variable 2
-2.9721585745694727,variable 2
-2.97133600848709,variable 2
-2.9720446849643474,variable 2
-2.972201585392414,variable 2
-2.9769556651815687,variable 2
-2.9829525573334723,variable 2
-2.974900116872745,variable 2
-2.944811119453328,variable 2
-2.9821217994708324,variable 2
-2.9809350570603277,variable 2
-2.8168940688793933,variable 2
-2.9848047586154904,variable 2
-2.99672277451915,variable 2
-2.957288870953441,variable 2
-2.9462052172957347,variable 2
-2.9415027282251924,variable 2
-2.8032811434184706,variable 2
-2.9300884702226853,variable 2
-2.929616165576446,variable 2
-2.966486792702369,variable 2
-2.9504753139822135,variable 2
-2.960128698713427,variable 2
-2.953407557748594,variable 2
-2.977593701472183,variable 2
-2.915186826616836,variable 2
-2.9903475620954265,variable 2
-2.9929768308807074,variable 2
-2.804996263608733,variable 2
-2.9237404608719633,variable 2
-2.8070932639162933,variable 2
-2.950923412315453,variable 2
-2.9752789270607436,variable 2
-2.931754630607839,variable 2
-2.985348247446207,variable 2
-2.9890320258116394,variable 2
-2.97246222716191,variable 2
-2.931312767571417,variable 2
-2.9281840769612906,variable 2
-2.9524155442939364,variable 2
-2.9214270385019248,variable 2
-2.975720058404172,variable 2
-2.963713739881254,variable 2
-2.97381597054507,variable 2
-2.977415709198251,variable 2
-2.8339429610138356,variable 2
-2.964949722048969,variable 2
-2.9201877891659285,variable 2
-2.99087382432805,variable 2
-2.9570697129954215,variable 2
-2.987309731848764,variable 2
-2.9483597922980875,variable 2
-2.977063064987967,variable 2
-2.910278264167768,variable 2
-2.9654011988950755,variable 2
-2.9462868456023803,variable 2
-2.9780316356353564,variable 2
-2.9860584986540384,variable 2
-2.856412139408309,variable 2
-2.955990879395136,variable 2
-2.985667535999795,variable 2
-2.9906017776916722,variable 2
-2.9672111687662546,variable 2
-2.8834169872332804,variable 2
-2.932115005313667,variable 2
-2.928225897987798,variable 2
-2.969179267037221,variable 2
-2.965857154974814,variable 2
-2.982264810457112,variable 2
-2.992768568785748,variable 2
-2.9903032851254787,variable 2
-2.993733019683455,variable 2
-2.9792751319719906,variable 2
-2.960592337569601,variable 2
-2.9756695620437768,variable 2
-2.9797176980699422,variable 2
-2.9460866830307353,variable 2
-2.9690684060048347,variable 2
-2.980163909907767,variable 2
-2.9647133406741295,variable 2
-2.9401599697807614,variable 2
-2.94397024513973,variable 2
-2.9938584445876923,variable 2
-2.9843461843473436,variable 2
-2.9973895917946125,variable 2
-2.909281746029288,variable 2
-2.977423169285514,variable 2
-2.990304277682931,variable 2
-2.6675863076647732,variable 2
-2.9123126570052484,variable 2
-2.9252549063054842,variable 2
-2.9726670566623463,variable 2
-2.9880747264176284,variable 2
-2.9387126492262388,variable 2
-2.972712036693823,variable 2
-2.977603690672186,variable 2
-2.8980619179428837,variable 2
-2.881300215308517,variable 2
-2.970547497941659,variable 2
-2.9156418919398863,variable 2
-2.9380835586777923,variable 2
-2.8952253509886305,variable 2
-2.9768118875082825,variable 2
-2.9649364147803032,variable 2
-2.9436724779039825,variable 2
-2.9898698238333896,variable 2
-2.9851921741493506,variable 2
-2.971228926808081,variable 2
-2.9426395500858753,variable 2
-2.989642776316132,variable 2
-2.9882776948728416,variable 2
-2.9565753430335073,variable 2
-2.9318310766193245,variable 2
-2.797734974150763,variable 2
-2.797048614309817,variable 2
-2.9862248156528084,variable 2
-2.943857818920592,variable 2
-2.9780897511467095,variable 2
-2.9751940506734598,variable 2
-2.9320971011042354,variable 2
-2.952492877880836,variable 2
-2.8256759277231156,variable 2
-2.9969227271267185,variable 2
-2.7989848966606474,variable 2
-2.9279002627928077,variable 2
-2.909761593475912,variable 2
-2.973054850767799,variable 2
-2.933443091722935,variable 2
-2.994595027199479,variable 2
-2.936232305415392,variable 2
-2.9748849930966905,variable 2
-2.9668831189843843,variable 2
-2.767976208867102,variable 2
-2.9390095893307757,variable 2
-2.9701694671657624,variable 2
-2.953170183816302,variable 2
-2.966957923458544,variable 2
-2.980373816721326,variable 2
-2.9698888469962617,variable 2
-2.977472590375336,variable 2
-2.9772916967796195,variable 2
-2.9969928551282656,variable 2
-2.978144125479972,variable 2
-2.991963833743497,variable 2
-2.80342539828284,variable 2
-2.852770582909894,variable 2
-2.973385525100625,variable 2
-2.93794446702094,variable 2
-2.928397034616506,variable 2
-2.965814716781172,variable 2
-2.9933489349433535,variable 2
-2.9301792001539195,variable 2
-2.7335707476943143,variable 2
-2.9452377282814663,variable 2
-2.9735723804036045,variable 2
-2.9333831310727283,variable 2
-2.957784869727585,variable 2
-2.9289565411612397,variable 2
-2.9377802655693044,variable 2
-2.974033665117102,variable 2
-2.921920358643457,variable 2
-2.9403953522356003,variable 2
-2.9423982822743464,variable 2
-2.9791704998738737,variable 2
-2.932809747811303,variable 2
-2.959818295457804,variable 2
-2.9235142722986547,variable 2
-2.908226342511175,variable 2
-2.9351796218864514,variable 2
-2.950973358315466,variable 2
-2.9763939858267707,variable 2
-2.9662495651086758,variable 2
-2.983149160059639,variable 2
-2.992517604451414,variable 2
-2.9913667722605366,variable 2
-2.9175980572525053,variable 2
-2.8823703004056154,variable 2
-2.9650841054204693,variable 2
-2.987531985186275,variable 2
-2.875329648198022,variable 2
-2.982088205218594,variable 2
-2.984800495708483,variable 2
-2.986782731560599,variable 2
-2.8647648762175226,variable 2
-2.981231376816457,variable 2
-2.926318298002326,variable 2
-2.9903847766373475,variable 2
-2.8265902417443765,variable 2
-2.910095738578548,variable 2
-2.960198139559815,variable 2
-2.9758450824678997,variable 2
-2.9633843825958164,variable 2
-2.908550752915719,variable 2
-2.991919245008708,variable 2
-2.929559348820157,variable 2
-2.974735195657893,variable 2
-2.9952601361308653,variable 2
-2.8336830063994993,variable 2
-2.9975210340784053,variable 2
-2.98591841125846,variable 2
-2.997874246146078,variable 2
-2.5919013960739106,variable 2
-2.972620416005901,variable 2
-2.9764002465737787,variable 2
-2.984930752967753,variable 2
-2.992628608641125,variable 2
-2.9700133493310714,variable 2
-2.9816838255417357,variable 2
-2.986444760976115,variable 2
-2.920480641333522,variable 2
-2.9842889166454816,variable 2
-2.9425318480584584,variable 2
-2.6495429079569472,variable 2
-2.9936252222178217,variable 2
-2.976377627716448,variable 2
-2.992881892124122,variable 2
-2.999321140091773,variable 2
-2.993837017515091,variable 2
-2.994360710869051,variable 2
-2.829572177008859,variable 2
-2.8520904424593962,variable 2
-2.9935650961413725,variable 2
-2.972556873241298,variable 2
-2.982766142636926,variable 2
-2.9794094135427267,variable 2
-2.9829535514815615,variable 2
-2.7550887188342688,variable 2
-2.985221629564263,variable 2
-2.652404584705984,variable 2
-2.933655938828883,variable 2
-2.9986088064220557,variable 2
-2.9964504141296353,variable 2
-2.836155421680503,variable 2
-2.9865682222390455,variable 2
-2.7764509793425898,variable 2
-2.981022689226115,variable 2
-2.9932572721035524,variable 2
-2.988135711438027,variable 2
-2.900638870679106,variable 2
-2.710755481695036,variable 2
-2.9298040166181516,variable 2
-2.9858147653552476,variable 2
-2.881635852428606,variable 2
-2.9213368811999905,variable 2
-2.5506231624930966,variable 2
-2.981867186215351,variable 2
-2.951637930406884,variable 2
-2.973458244249753,variable 2
-2.991544699636482,variable 2
-2.9884532343846075,variable 2
-2.8028036946523573,variable 2
-2.993762152199068,variable 2
-2.9837871645375142,variable 2
-2.960465595617975,variable 2
-2.9881417240456716,variable 2
-2.9731346371168645,variable 2
-2.9123455895525185,variable 2
-2.7771542444729667,variable 2
-2.9759971791723983,variable 2
-2.9551972151860095,variable 2
-2.9786847988833,variable 2
-2.835067640747413,variable 2
-2.9954785713034577,variable 2
-2.994336046054952,variable 2
-2.889468629108765,variable 2
-2.9369444415280004,variable 2
-2.9757249376829953,variable 2
-2.9378862019897145,variable 2
