value,type
18377,kilometers
29528,kilometers
28218,kilometers
28202,kilometers
19296,kilometers
18930,kilometers
25186,kilometers
23469,kilometers
55082,kilometers
18246,kilometers
29229,kilometers
25350,kilometers
28131,kilometers
28830,kilometers
30242,kilometers
22243,kilometers
24611,kilometers
29355,kilometers
27407,kilometers
24877,kilometers
28113,kilometers
26465,kilometers
12793,kilometers
31146,kilometers
57951,kilometers
42063,kilometers
31278,kilometers
30516,kilometers
24983,kilometers
35096,kilometers
24438,kilometers
18240,kilometers
36472,kilometers
12581,kilometers
46492,kilometers
27043,kilometers
24920,kilometers
68830,kilometers
30620,kilometers
50686,kilometers
12898,kilometers
28455,kilometers
20427,kilometers
32825,kilometers
23851,kilometers
43144,kilometers
18293,kilometers
26402,kilometers
24098,kilometers
19039,kilometers
24865,kilometers
22853,kilometers
21677,kilometers
14798,kilometers
29109,kilometers
27035,kilometers
24361,kilometers
25711,kilometers
29938,kilometers
29962,kilometers
14402,kilometers
26632,kilometers
32134,kilometers
33327,kilometers
34487,kilometers
26837,kilometers
38608,kilometers
23335,kilometers
15653,kilometers
45060,kilometers
19583,kilometers
21509,kilometers
13071,kilometers
12136,kilometers
28051,kilometers
19111,kilometers
43097,kilometers
30926,kilometers
23009,kilometers
16090,kilometers
17440,kilometers
20689,kilometers
39452,kilometers
48013,kilometers
58429,kilometers
17415,kilometers
25046,kilometers
29469,kilometers
19189,kilometers
30290,kilometers
18351,kilometers
25573,kilometers
27847,kilometers
11912,kilometers
28226,kilometers
17385,kilometers
26656,kilometers
29491,kilometers
27091,kilometers
27397,kilometers
23473,kilometers
28180,kilometers
28805,kilometers
32043,kilometers
15630,kilometers
61872,kilometers
14190,kilometers
17786,kilometers
18244,kilometers
14740,kilometers
28219,kilometers
27251,kilometers
39716,kilometers
29706,kilometers
11698,kilometers
30307,kilometers
24533,kilometers
27924,kilometers
47855,kilometers
20936,kilometers
33276,kilometers
30246,kilometers
28226,kilometers
23886,kilometers
65082,kilometers
45137,kilometers
14335,kilometers
25792,kilometers
31237,kilometers
18924,kilometers
29750,kilometers
64771,kilometers
24218,kilometers
24241,kilometers
21469,kilometers
32298,kilometers
43634,kilometers
24742,kilometers
15747,kilometers
24600,kilometers
52119,kilometers
15450,kilometers
27943,kilometers
47546,kilometers
39275,kilometers
30757,kilometers
33264,kilometers
20493,kilometers
21703,kilometers
32494,kilometers
13454,kilometers
68844,kilometers
56723,kilometers
26957,kilometers
24444,kilometers
26521,kilometers
18669,kilometers
18243,kilometers
14554,kilometers
13760,kilometers
30596,kilometers
34813,kilometers
13425,kilometers
23821,kilometers
19364,kilometers
53811,kilometers
65990,kilometers
32002,kilometers
26881,kilometers
39050,kilometers
31073,kilometers
15607,kilometers
15859,kilometers
29831,kilometers
16587,kilometers
24718,kilometers
26012,kilometers
24241,kilometers
66370,kilometers
20408,kilometers
19040,kilometers
27546,kilometers
69114,kilometers
66175,kilometers
28875,kilometers
23468,kilometers
24598,kilometers
28331,kilometers
40517,kilometers
30896,kilometers
26716,kilometers
23644,kilometers
28783,kilometers
18910,kilometers
28591,kilometers
31694,kilometers
26486,kilometers
24315,kilometers
23329,kilometers
25806,kilometers
20221,kilometers
29130,kilometers
43784,kilometers
55684,kilometers
23782,kilometers
49081,kilometers
11911,kilometers
26534,kilometers
29388,kilometers
31486,kilometers
29011,kilometers
23883,kilometers
25176,kilometers
28628,kilometers
18593,kilometers
12968,kilometers
37069,kilometers
20337,kilometers
27919,kilometers
60292,kilometers
19043,kilometers
28316,kilometers
25968,kilometers
15882,kilometers
12217,kilometers
42551,kilometers
15675,kilometers
42512,kilometers
25056,kilometers
12832,kilometers
12943,kilometers
24402,kilometers
54940,kilometers
20582,kilometers
18413,kilometers
30873,kilometers
47295,kilometers
49144,kilometers
35131,kilometers
31037,kilometers
35558,kilometers
26313,kilometers
23417,kilometers
29267,kilometers
30422,kilometers
21562,kilometers
31073,kilometers
12931,kilometers
22337,kilometers
28615,kilometers
14665,kilometers
26875,kilometers
12280,kilometers
14556,kilometers
27907,kilometers
35253,kilometers
24462,kilometers
26924,kilometers
24545,kilometers
60643,kilometers
30981,kilometers
13824,kilometers
30421,kilometers
48246,kilometers
16254,kilometers
18664,kilometers
30772,kilometers
27293,kilometers
